t,vx,vy,vz,wx,wy,wz
1771883268.8570106,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.8933213,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.8968413,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.907251,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.91668,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.9266124,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.9366126,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.9466267,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.9570487,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.966652,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.9766674,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.986972,-0.0,0.0,0.0,0.0,0.0,0.0
1771883268.997145,-0.0,0.0,0.0,0.0,0.0,0.0
1771883269.0067265,-0.0,0.0,0.0,0.0,0.0,0.0
1771883269.016636,-0.0,0.0,0.0,0.0,0.0,0.0
1771883269.0267699,-0.0,0.0,0.0,0.0,0.0,0.0
1771883269.0367138,-0.0,0.0,0.0,0.0,0.0,0.0
1771883269.0471613,-0.0,0.0,0.0,0.0,0.0,0.0
1771883269.0567307,-0.0,0.0,0.0,0.0,0.0,0.0
1771883269.0667362,0.012361768203520057,0.0,0.0,0.0,0.0,0.0
1771883269.0776565,0.016639800585376077,0.0,0.0,0.0,0.0,0.0
1771883269.0874288,0.016639800585376077,0.0,0.0,0.0,0.0,0.0
1771883269.0970638,0.016639800585376077,0.0,0.0,0.0,0.0,0.0
1771883269.1075685,0.016639800585376077,0.0,0.0,0.0,0.0,0.0
1771883269.1172898,0.0200395011780235,0.0,0.0,0.0,0.0,0.0
1771883269.126972,0.026071655902478938,0.0,0.0,0.0,0.0,0.0
1771883269.1367218,0.026071655902478938,0.0,0.0,0.0,0.0,0.0
1771883269.14701,0.026071655902478938,0.0,0.0,0.0,0.0,0.0
1771883269.1570077,0.026071655902478938,0.0,0.0,0.0,0.0,0.0
1771883269.166738,0.029900164895182255,0.0,0.0,0.0,0.0,0.0
1771883269.1766832,0.036501545418046344,0.0,0.0,0.0,0.0,0.0
1771883269.1870155,0.036501545418046344,0.0,0.0,0.0,0.0,0.0
1771883269.196965,0.036501545418046344,0.0,0.0,0.0,0.0,0.0
1771883269.2076232,0.036501545418046344,0.0,0.0,0.0,0.0,0.0
1771883269.2167933,0.04059221470091075,0.0,0.0,0.0,0.0,0.0
1771883269.226912,0.04059221470091075,0.0,0.0,0.0,0.0,0.0
1771883269.2372367,0.04059221470091075,0.0,0.0,0.0,0.0,0.0
1771883269.2467332,0.049034169971341066,0.0,0.0,0.0,0.0,0.0
1771883269.2581592,0.049034169971341066,0.0,0.0,0.0,0.0,0.0
1771883269.2672071,0.049034169971341066,0.0,0.0,0.0,0.0,0.0
1771883269.2767286,0.058083402728708766,0.0,0.0,0.0,0.0,0.0
1771883269.2869055,0.058083402728708766,0.0,0.0,0.0,0.0,0.0
1771883269.2967305,0.058083402728708766,0.0,0.0,0.0,0.0,0.0
1771883269.307625,0.06581953151779785,0.0,0.0,0.0,0.0,0.0
1771883269.3167446,0.06581953151779785,0.0,0.0,0.0,0.0,0.0
1771883269.3271408,0.06581953151779785,0.0,0.0,0.0,0.0,0.0
1771883269.3367155,0.07344213726726126,0.0,0.0,0.0,0.0,0.0
1771883269.3475769,0.07344213726726126,0.0,0.0,0.0,0.0,0.0
1771883269.3568766,0.07957341169444948,0.0,0.0,0.0,0.0,0.0
1771883269.367235,0.0844916303964389,0.0,0.0,0.0,0.0,0.0
1771883269.3767593,0.0844916303964389,0.0,0.0,0.0,0.0,0.0
1771883269.3867211,0.0844916303964389,0.0,0.0,0.0,0.0,0.0
1771883269.396619,0.0844916303964389,0.0,0.0,0.0,0.0,0.0
1771883269.4067576,0.08885283837086472,0.0,0.0,0.0,0.0,0.0
1771883269.4166925,0.09649298370459428,0.0,0.0,0.0,0.0,0.0
1771883269.4271102,0.09649298370459428,0.0,0.0,0.0,0.0,0.0
1771883269.4370065,0.09649298370459428,0.0,0.0,0.0,0.0,0.0
1771883269.4470668,0.1009824033400251,0.0,0.0,0.0,0.0,0.0
1771883269.4569387,0.1009824033400251,0.0,0.0,0.0,0.0,0.0
1771883269.466745,0.10879254528672404,0.0,0.0,0.0,0.0,0.0
1771883269.4767585,0.10879254528672404,0.0,0.0,0.0,0.0,0.0
1771883269.4867814,0.10879254528672404,0.0,0.0,0.0,0.0,0.0
1771883269.4968987,0.11484267998826517,0.0,0.0,0.0,0.0,0.0
1771883269.5067008,0.11484267998826517,0.0,0.0,0.0,0.0,0.0
1771883269.5167391,0.11484267998826517,0.0,0.0,0.0,0.0,0.0
1771883269.5271752,0.12318740848707094,0.0,0.0,0.0,0.0,0.0
1771883269.5371423,0.12318740848707094,0.0,0.0,0.0,0.0,0.0
1771883269.54673,0.12318740848707094,0.0,0.0,0.0,0.0,0.0
1771883269.5568745,0.12318740848707094,0.0,0.0,0.0,0.0,0.0
1771883269.5667245,0.13227743684930704,0.0,0.0,0.0,0.0,0.0
1771883269.5769258,0.13227743684930704,0.0,0.0,0.0,0.0,0.0
1771883269.5868535,0.13227743684930704,0.0,0.0,0.0,0.0,0.0
1771883269.596737,0.13980134404663025,0.0,0.0,0.0,0.0,0.0
1771883269.6071162,0.14574494871505195,0.0,0.0,0.0,0.0,0.0
1771883269.6167269,0.14574494871505195,0.0,0.0,0.0,0.0,0.0
1771883269.626724,0.14574494871505195,0.0,0.0,0.0,0.0,0.0
1771883269.636989,0.14574494871505195,0.0,0.0,0.0,0.0,0.0
1771883269.6467314,0.15010715031893723,0.0,0.0,0.0,0.0,0.0
1771883269.657475,0.15747448126526054,0.0,0.0,0.0,0.0,0.0
1771883269.6669722,0.15747448126526054,0.0,0.0,0.0,0.0,0.0
1771883269.6767244,0.15747448126526054,0.0,0.0,0.0,0.0,0.0
1771883269.6868746,0.16134944717229088,0.0,0.0,0.0,0.0,0.0
1771883269.6967807,0.16134944717229088,0.0,0.0,0.0,0.0,0.0
1771883269.7076292,0.1680159910344256,0.0,0.0,0.0,0.0,0.0
1771883269.716776,0.1680159910344256,0.0,0.0,0.0,0.0,0.0
1771883269.726741,0.1680159910344256,0.0,0.0,0.0,0.0,0.0
1771883269.7370222,0.1715915060702029,0.0,0.0,0.0,0.0,0.0
1771883269.746644,0.1715915060702029,0.0,0.0,0.0,0.0,0.0
1771883269.756692,0.1715915060702029,0.0,0.0,0.0,0.0,0.0
1771883269.7671018,0.17978515176915288,0.0,0.0,0.0,0.0,0.0
1771883269.7766695,0.17978515176915288,0.0,0.0,0.0,0.0,0.0
1771883269.7866206,0.17978515176915288,0.0,0.0,0.0,0.0,0.0
1771883269.7971597,0.18758904610163546,0.0,0.0,0.0,0.0,0.0
1771883269.8066864,0.18758904610163546,0.0,0.0,0.0,0.0,0.0
1771883269.816598,0.18758904610163546,0.0,0.0,0.0,0.0,0.0
1771883269.826667,0.18758904610163546,0.0,0.0,0.0,0.0,0.0
1771883269.8366864,0.19363032272905692,0.0,0.0,0.0,0.0,0.0
1771883269.8467574,0.19363032272905692,0.0,0.0,0.0,0.0,0.0
1771883269.8568275,0.19363032272905692,0.0,0.0,0.0,0.0,0.0
1771883269.866689,0.199614991823789,0.0,0.0,0.0,0.0,0.0
1771883269.8766794,0.199614991823789,0.0,0.0,0.0,0.0,0.0
1771883269.8874016,0.199614991823789,0.0,0.0,0.0,0.0,0.0
1771883269.89667,0.19999998548771253,0.0,0.0,0.0,0.0,0.0
1771883269.9066873,0.19999998548771253,0.0,0.0,0.0,0.0,0.0
1771883269.9167006,0.19999998548771253,0.0,0.0,0.0,0.0,0.0
1771883269.9270172,0.19999998588964285,0.0,0.0,0.0,0.0,0.0
1771883269.9370704,0.19999998588964285,0.0,0.0,0.0,0.0,0.0
1771883269.946743,0.19999998635551153,0.0,0.0,0.0,0.0,0.0
1771883269.9566698,0.19999998635551153,0.0,0.0,0.0,0.0,0.0
1771883269.9666817,0.19999998635551153,0.0,0.0,0.0,0.0,0.0
1771883269.9766972,0.1999999866420208,0.0,0.0,0.0,0.0,0.0
1771883269.9869747,0.1999999866420208,0.0,0.0,0.0,0.0,0.0
1771883269.9967222,0.19999998703212962,0.0,0.0,0.0,0.0,0.0
1771883270.0069916,0.19999998703212962,0.0,0.0,0.0,0.0,0.0
1771883270.016856,0.19999998703212962,0.0,0.0,0.0,0.0,0.0
1771883270.0267167,0.1999999872583816,0.0,0.0,0.0,0.0,0.0
1771883270.0369503,0.1999999872583816,0.0,0.0,0.0,0.0,0.0
1771883270.0470228,0.1999999872583816,0.0,0.0,0.0,0.0,0.0
1771883270.057085,0.19999998776029687,0.0,0.0,0.0,0.0,0.0
1771883270.0669732,0.19999998776029687,0.0,0.0,0.0,0.0,0.0
1771883270.0767548,0.19999998776029687,0.0,0.0,0.0,0.0,0.0
1771883270.0875914,0.1999999890077027,0.0,0.0,0.0,0.0,0.0
1771883270.097275,0.1999999890077027,0.0,0.0,0.0,0.0,0.0
1771883270.1067233,0.1999999890077027,0.0,0.0,0.0,0.0,0.0
1771883270.116758,0.1999999890077027,0.0,0.0,0.0,0.0,0.0
1771883270.1267257,0.19999998699750718,0.0,0.0,0.0,0.0,0.0
1771883270.1367445,0.19999998699750718,0.0,0.0,0.0,0.0,0.0
1771883270.1472285,0.19999998699750718,0.0,0.0,0.0,0.0,0.0
1771883270.1570013,0.19999999612109273,0.0,0.0,0.0,0.0,0.0
1771883270.1667478,0.19999999612109273,0.0,0.0,0.0,0.0,0.0
1771883270.176738,0.19999999612109273,0.0,0.0,0.0,0.0,0.0
1771883270.1867485,0.1999999973929717,0.0,0.0,0.0,0.0,0.0
1771883270.1967347,0.1999999973929717,0.0,0.0,0.0,0.0,0.0
1771883270.2075703,0.1999999973929717,0.0,0.0,0.0,0.0,0.0
1771883270.2167728,0.1999999956934293,0.0,0.0,0.0,0.0,0.0
1771883270.2267613,0.1999999956934293,0.0,0.0,0.0,0.0,0.0
1771883270.2370088,0.19999999500285143,0.0,0.0,0.0,0.0,0.0
1771883270.2472706,0.19999999500285143,0.0,0.0,0.0,0.0,0.0
1771883270.2573435,0.19999999500285143,0.0,0.0,0.0,0.0,0.0
1771883270.266803,0.19999999695753615,0.0,0.0,0.0,0.0,0.0
1771883270.276841,0.19999999695753615,0.0,0.0,0.0,0.0,0.0
1771883270.2867255,0.19999999750473538,0.0,0.0,0.0,0.0,0.0
1771883270.2967257,0.19999999750473538,0.0,0.0,0.0,0.0,0.0
1771883270.3067863,0.19999999750473538,0.0,0.0,0.0,0.0,0.0
1771883270.316734,0.19999999705549054,0.0,0.0,0.0,0.0,0.0
1771883270.326727,0.19999999705549054,0.0,0.0,0.0,0.0,0.0
1771883270.336719,0.19999999705549054,0.0,0.0,0.0,0.0,0.0
1771883270.3467257,0.19999999698269802,0.0,0.0,0.0,0.0,0.0
1771883270.3567452,0.19999999698269802,0.0,0.0,0.0,0.0,0.0
1771883270.367241,0.19999999698269802,0.0,0.0,0.0,0.0,0.0
1771883270.3767304,0.19999999901868612,0.0,0.0,0.0,0.0,0.0
